MHT_CET,JEE_Main,Branch,Category,Gender,Allocated_College
92.45,66.52,CS,OBC,Male,PCCOE Pune
82.93,65.93,CS,OBC,Male,Govt College Karad
94.72,39.09,CS,OPEN,Male,VIT Pune
99.99,68.4,CS,SC,Male,COEP Pune
81.49,89.66,IT,SC,Female,WIT Solapur
81.49,49.52,CS,OPEN,Female,Sinhgad Pune
99.99,95.97,CS,OBC,Male,COEP Pune
96.51,84.76,EnTC,OBC,Male,SPIT Mumbai
77.96,60.32,CS,OBC,Female,Orchid Solapur
93.14,72.17,EnTC,OPEN,Male,VIT Pune
78.05,99.99,EnTC,OBC,Female,Orchid Solapur
78.01,89.67,CS,OPEN,Male,Orchid Solapur
88.63,75.18,EnTC,OBC,Female,WIT Solapur
56.3,70.25,EnTC,SC,Female,Local City College
59.13,76.53,IT,SC,Male,Local City College
76.57,64.76,CS,OPEN,Male,Orchid Solapur
69.81,32.91,IT,OBC,Female,Local City College
89.71,99.99,Civil,EWS,Male,DY Patil Akurdi
71.38,78.11,EnTC,OPEN,Male,Local City College
63.82,82.96,CS,ST,Female,Local City College
99.99,73.84,EnTC,SC,Male,COEP Pune
81.61,60.3,IT,SC,Male,WIT Solapur
86.01,71.28,IT,OPEN,Female,WIT Solapur
63.63,43.01,EnTC,OPEN,Female,Local City College
76.83,99.99,IT,EWS,Female,Orchid Solapur
86.66,50.31,Mech,OPEN,Male,WIT Solapur
67.74,54.36,EnTC,OPEN,Female,Local City College
90.64,66.19,EnTC,OBC,Male,DY Patil Akurdi
75.99,99.99,CS,OPEN,Male,Orchid Solapur
80.62,75.29,Mech,SC,Male,WIT Solapur
75.97,50.28,Civil,OBC,Male,Orchid Solapur
99.99,99.99,CS,ST,Female,COEP Pune
84.8,89.62,IT,SC,Male,DY Patil Akurdi
69.13,85.77,CS,OPEN,Male,Local City College
97.34,89.31,EnTC,OPEN,Male,SPIT Mumbai
66.69,99.99,EnTC,SC,Female,Local City College
88.13,99.99,CS,OPEN,Female,WIT Solapur
55.6,61.27,Mech,EWS,Female,Not Allotted
65.08,99.99,CS,SC,Male,Local City College
87.95,82.66,EnTC,OPEN,Male,WIT Solapur
96.08,84.98,IT,ST,Female,COEP Pune
87.57,41.15,CS,OPEN,Female,WIT Solapur
83.27,71.59,CS,OPEN,Male,Govt College Karad
80.48,58.74,CS,SC,Female,WIT Solapur
62.82,91.56,EnTC,ST,Male,Local City College
74.2,96.42,IT,OBC,Female,Local City College
78.09,33.51,CS,OPEN,Male,Orchid Solapur
99.99,74.56,CS,OPEN,Male,COEP Pune
90.15,97.44,CS,OPEN,Male,DY Patil Akurdi
58.55,71.27,EnTC,OPEN,Female,Not Allotted
89.86,89.58,EnTC,OPEN,Female,DY Patil Akurdi
79.22,82.02,CS,OBC,Male,Orchid Solapur
74.85,81.83,IT,EWS,Female,Local City College
94.18,69.57,CS,OPEN,Male,VIT Pune
